部品,型番,個数,入手先,URL
ACアダプタ9V/0.65A,GF06-US09065A,1,秋月 M-03681 ,<http://akizukidenshi.com/catalog/g/gM-03681/>
基板用DCジャック,2DC0005D100,1,秋月 C-01604 ,<http://akizukidenshi.com/catalog/g/gC-01604/>
自作アクリルケース,,1 set,アクリル加工サービスなど,
