Ref,Manuf,Part,DIGIKEY,MOUSER,適用
CON 5-7,Wurth Electronics,614104150121,732-5962-1-ND,710-614104150121,`r0.5`
CON 5-7,aitendo,UAF-99 ,NA,NA,`r0.4`
